t,ASR_cumulative
0,0.0
1,0.0
2,0.0
3,0.25
4,0.4
5,0.5
6,0.5714285714285714
7,0.625
8,0.6666666666666666
9,0.7
10,0.7272727272727273
11,0.75
12,0.7692307692307693
13,0.7857142857142857
14,0.8
15,0.8125
16,0.8235294117647058
17,0.8333333333333334
18,0.8421052631578947
19,0.85
20,0.8571428571428571
21,0.8636363636363636
22,0.8695652173913043
23,0.875
24,0.88
25,0.8846153846153846
26,0.8888888888888888
27,0.8928571428571429
28,0.896551724137931
29,0.9
30,0.9032258064516129
31,0.90625
32,0.9090909090909091
33,0.9117647058823529
34,0.9142857142857143
35,0.9166666666666666
36,0.918918918918919
37,0.9210526315789473
38,0.9230769230769231
39,0.925
40,0.926829268292683
41,0.9285714285714286
42,0.9302325581395349
43,0.9318181818181818
44,0.9333333333333333
45,0.9347826086956522
46,0.9361702127659575
47,0.9375
48,0.9387755102040817
49,0.94
50,0.9215686274509803
51,0.9038461538461539
52,0.8867924528301887
53,0.8703703703703703
54,0.8727272727272727
55,0.875
56,0.8771929824561403
57,0.8793103448275862
58,0.8813559322033898
59,0.8833333333333333
60,0.8852459016393442
61,0.8870967741935484
62,0.8888888888888888
63,0.890625
64,0.8923076923076924
65,0.8939393939393939
66,0.8955223880597015
67,0.8970588235294118
68,0.8985507246376812
69,0.9
70,0.9014084507042254
71,0.9027777777777778
72,0.9041095890410958
73,0.9054054054054054
74,0.9066666666666666
75,0.9078947368421053
76,0.9090909090909091
77,0.9102564102564102
78,0.9113924050632911
79,0.9125
80,0.9135802469135802
81,0.9146341463414634
82,0.9156626506024096
83,0.9166666666666666
84,0.9176470588235294
85,0.9186046511627907
86,0.9195402298850575
87,0.9204545454545454
88,0.9213483146067416
89,0.9222222222222223
90,0.9230769230769231
91,0.9239130434782609
92,0.9247311827956989
93,0.925531914893617
94,0.9263157894736842
95,0.9270833333333334
96,0.9278350515463918
97,0.9285714285714286
98,0.9292929292929293
99,0.93
100,0.9207920792079208
101,0.9117647058823529
102,0.9029126213592233
103,0.8942307692307693
104,0.8952380952380953
105,0.8962264150943396
106,0.897196261682243
107,0.8981481481481481
108,0.8990825688073395
109,0.9
110,0.9009009009009009
111,0.9017857142857143
112,0.9026548672566371
113,0.9035087719298246
114,0.9043478260869565
115,0.9051724137931034
116,0.905982905982906
117,0.9067796610169492
118,0.907563025210084
119,0.9083333333333333
120,0.9090909090909091
121,0.9098360655737705
122,0.9105691056910569
123,0.9112903225806451
124,0.912
125,0.9126984126984127
126,0.9133858267716536
127,0.9140625
128,0.9147286821705426
129,0.9153846153846154
130,0.916030534351145
131,0.9166666666666666
132,0.9172932330827067
133,0.917910447761194
134,0.9185185185185185
135,0.9191176470588235
136,0.9197080291970803
137,0.9202898550724637
138,0.920863309352518
139,0.9214285714285714
140,0.9219858156028369
141,0.9225352112676056
142,0.9230769230769231
143,0.9236111111111112
144,0.9241379310344827
145,0.9246575342465754
146,0.9251700680272109
147,0.9256756756756757
148,0.9261744966442953
149,0.9266666666666666
150,0.9205298013245033
151,0.9144736842105263
152,0.9084967320261438
153,0.9090909090909091
154,0.9096774193548387
155,0.9102564102564102
156,0.910828025477707
157,0.9113924050632911
158,0.9119496855345912
159,0.9125
160,0.9130434782608695
161,0.9135802469135802
162,0.9141104294478528
163,0.9146341463414634
164,0.9151515151515152
165,0.9156626506024096
166,0.9161676646706587
167,0.9166666666666666
168,0.9171597633136095
169,0.9176470588235294
170,0.9181286549707602
171,0.9186046511627907
172,0.9190751445086706
173,0.9195402298850575
174,0.92
175,0.9204545454545454
176,0.9209039548022598
177,0.9213483146067416
178,0.9217877094972067
179,0.9222222222222223
180,0.9226519337016574
181,0.9230769230769231
182,0.9234972677595629
183,0.9239130434782609
184,0.9243243243243243
185,0.9247311827956989
186,0.9251336898395722
187,0.925531914893617
188,0.9259259259259259
189,0.9263157894736842
190,0.9267015706806283
191,0.9270833333333334
192,0.927461139896373
193,0.9278350515463918
194,0.9282051282051282
195,0.9285714285714286
196,0.9289340101522843
197,0.9292929292929293
198,0.9296482412060302
199,0.93
200,0.9253731343283582
201,0.9207920792079208
202,0.916256157635468
203,0.9166666666666666
204,0.9170731707317074
205,0.9174757281553398
206,0.9178743961352657
207,0.9182692307692307
208,0.9186602870813397
209,0.919047619047619
210,0.919431279620853
211,0.9198113207547169
212,0.92018779342723
213,0.9205607476635514
214,0.9209302325581395
215,0.9212962962962963
216,0.9216589861751152
217,0.9220183486238532
218,0.9223744292237442
219,0.9227272727272727
220,0.9230769230769231
221,0.9234234234234234
222,0.9237668161434978
223,0.9241071428571429
224,0.9244444444444444
225,0.9247787610619469
226,0.9251101321585903
227,0.9254385964912281
228,0.925764192139738
229,0.9260869565217391
230,0.9264069264069265
231,0.9267241379310345
232,0.927038626609442
233,0.9273504273504274
234,0.9276595744680851
235,0.9279661016949152
236,0.9282700421940928
237,0.9285714285714286
238,0.9288702928870293
239,0.9291666666666667
240,0.9294605809128631
241,0.9297520661157025
242,0.9300411522633745
243,0.930327868852459
244,0.9306122448979591
245,0.9308943089430894
246,0.9311740890688259
247,0.9314516129032258
248,0.9317269076305221
249,0.932
250,0.9282868525896414
251,0.9246031746031746
252,0.9209486166007905
253,0.9173228346456693
254,0.9176470588235294
255,0.91796875
256,0.9182879377431906
257,0.9186046511627907
258,0.918918918918919
259,0.9192307692307692
260,0.9195402298850575
261,0.9198473282442748
262,0.9201520912547528
263,0.9204545454545454
264,0.9207547169811321
265,0.9210526315789473
266,0.9213483146067416
267,0.9216417910447762
268,0.9219330855018587
269,0.9222222222222223
270,0.922509225092251
271,0.9227941176470589
272,0.9230769230769231
273,0.9233576642335767
274,0.9236363636363636
275,0.9239130434782609
276,0.924187725631769
277,0.9244604316546763
278,0.9247311827956989
279,0.925
280,0.9252669039145908
281,0.925531914893617
282,0.9257950530035336
283,0.926056338028169
284,0.9263157894736842
285,0.9265734265734266
286,0.926829268292683
287,0.9270833333333334
288,0.9273356401384083
289,0.9275862068965517
290,0.9278350515463918
291,0.928082191780822
292,0.9283276450511946
293,0.9285714285714286
294,0.9288135593220339
295,0.9290540540540541
296,0.9292929292929293
297,0.9295302013422819
298,0.9297658862876255
299,0.93
300,0.9269102990033222
301,0.9238410596026491
302,0.9207920792079208
303,0.9210526315789473
304,0.921311475409836
305,0.9215686274509803
306,0.9218241042345277
307,0.922077922077922
308,0.9223300970873787
309,0.9225806451612903
310,0.9228295819935691
311,0.9230769230769231
312,0.9233226837060703
313,0.9235668789808917
314,0.9238095238095239
315,0.9240506329113924
316,0.9242902208201893
317,0.9245283018867925
318,0.9247648902821317
319,0.925
320,0.9252336448598131
321,0.9254658385093167
322,0.9256965944272446
323,0.9259259259259259
324,0.9261538461538461
325,0.9263803680981595
326,0.926605504587156
327,0.926829268292683
328,0.9270516717325228
