t,UD,SAL
1167,5.044,4.9847
1168,5.0723,4.9527
1169,5.4124,5.1225
1170,4.9811,4.759
1171,5.2257,4.7492
1172,5.269,4.6889
1173,4.8866,4.8043
1174,5.1533,4.779
1175,5.3511,4.5109
1176,5.2316,4.9593
1177,5.2919,4.8754
1178,5.3113,4.7485
1179,5.2977,4.9798
1180,5.2126,5.1555
1181,5.0783,5.0896
1182,5.1102,4.9723
1183,5.4519,4.8425
1184,5.2802,4.9224
1185,4.9688,5.1925
1186,4.8762,5.2944
1187,5.0642,4.8767
1188,5.0696,4.9644
1189,5.3224,4.6819
1190,5.1826,4.869
1191,4.9291,4.4227
1192,5.2641,4.534
1193,5.2067,4.8652
1194,5.3267,4.9428
1195,5.4222,4.7541
1196,5.4668,4.8813
1197,5.1756,4.7546
1198,5.2632,5.0121
1199,5.1447,4.7712
1200,4.0502,5.511
1201,4.5947,5.3911
1202,4.542,5.5724
1203,5.1179,4.9285
1204,4.9836,4.8754
1205,5.0021,4.8013
1206,5.3348,5.2191
1207,5.0681,4.9508
1208,5.4402,4.602
1209,5.2815,4.633
1210,5.0253,5.0941
1211,5.2925,5.0535
1212,5.2011,4.9427
1213,5.1799,4.7514
1214,5.2875,4.8047
1215,5.1785,5.0199
1216,5.0928,4.8282
1217,5.0786,4.5745
1218,5.13,4.4617
1219,5.0232,4.8981
1220,5.2331,4.5789
1221,5.3507,4.2478
1222,5.0704,4.5745
1223,5.1557,4.8351
1224,5.0544,4.7732
1225,5.0265,4.8086
1226,5.2458,4.9202
1227,5.3502,5.0863
1228,5.2914,4.9816
1229,5.1612,4.5422
1230,4.9847,4.8161
1231,5.132,4.5584
1232,4.9742,4.6147
1233,5.3198,5.2937
1234,5.2162,5.1282
1235,5.1385,4.7727
1236,5.041,4.6557
1237,5.1356,4.6786
1238,5.471,5.0168
1239,5.3727,4.581
1240,5.1023,4.9473
1241,5.072,4.8534
1242,5.1452,5.2091
1243,5.5326,4.847
1244,5.1257,4.8327
1245,5.1459,4.8371
1246,5.1915,4.8268
1247,5.223,4.2878
1248,5.3504,4.7141
1249,5.108,5.2641
