t,q_1,q_2,q_3
0,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
1,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
2,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
3,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
4,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
5,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
6,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
7,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
8,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
9,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
10,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
11,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
12,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
13,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
14,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
15,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
16,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
17,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
18,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
19,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
20,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
21,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
22,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
23,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
24,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
25,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
26,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
27,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
28,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
29,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
30,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
31,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
32,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
33,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
34,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
35,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
36,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
37,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
38,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
39,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
40,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
41,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
42,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
43,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
44,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
45,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
46,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
47,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
48,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
49,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
50,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
51,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
