episods,GA1,GA2,GA3,GD1,GD2,GD3
91,0.9746,0.0002,0.0252,0.888146946,0.011469189,0.100383865
92,0.9754,0.0002,0.0244,0.89082682,0.010952343,0.098220837
93,0.9762,0.0002,0.0236,0.893445442,0.010457927,0.096096631
94,0.9770,0.0002,0.0228,0.896004023,0.009985032,0.094010946
95,0.9778,0.0002,0.0220,0.898503762,0.009532777,0.091963462
96,0.9785,0.0001,0.0213,0.900945845,0.009100315,0.08995384
97,0.9793,0.0001,0.0206,0.903331446,0.008686831,0.087981723
98,0.9799,0.0001,0.0199,0.905661726,0.008291537,0.086046737
99,0.9806,0.0001,0.0193,0.907937828,0.007913677,0.084148495
100,0.9813,0.0001,0.0186,0.910160884,0.007552522,0.082286595
101,0.9819,0.0001,0.0180,0.912332008,0.00720737,0.080460622
102,0.9825,0.0001,0.0174,0.914452301,0.006877547,0.078670152
103,0.9831,0.0001,0.0169,0.916522846,0.006562404,0.07691475
104,0.9836,0.0001,0.0163,0.918544711,0.006261318,0.075193971
105,0.9842,0.0001,0.0158,0.920518946,0.00597369,0.073507364
106,0.9847,0.0001,0.0153,0.922446586,0.005698944,0.07185447
107,0.9852,0.0001,0.0147,0.924328648,0.005436527,0.070234825
108,0.9857,0.0001,0.0143,0.926166134,0.005185908,0.068647958
109,0.9862,0.0000,0.0138,0.927960028,0.004946577,0.067093395
110,0.9866,0.0000,0.0133,0.929711295,0.004718045,0.06557066
111,0.9871,0.0000,0.0129,0.931420887,0.004499843,0.06407927
112,0.9875,0.0000,0.0125,0.933089735,0.00429152,0.062618745
113,0.9879,0.0000,0.0121,0.934718755,0.004092645,0.0611886
114,0.9883,0.0000,0.0117,0.936308846,0.003902803,0.059788351
115,0.9887,0.0000,0.0113,0.937860891,0.003721597,0.058417512
116,0.9890,0.0000,0.0109,0.939375753,0.003548647,0.0570756
117,0.9894,0.0000,0.0106,0.940854282,0.003383588,0.05576213
118,0.9898,0.0000,0.0102,0.942297309,0.00322607,0.054476621
119,0.9901,0.0000,0.0099,0.94370565,0.003075759,0.05321859
120,0.9904,0.0000,0.0096,0.945080104,0.002932335,0.051987561
