mode,metric,iteration,value,dominant_strategy
bounded,max_q,110,0.9297112951791768,ASD1_IPHop
bounded,max_q,111,0.9314208865424001,ASD1_IPHop
bounded,max_q,112,0.9330897345122341,ASD1_IPHop
bounded,max_q,113,0.9347187548196182,ASD1_IPHop
bounded,max_q,114,0.936308846237835,ASD1_IPHop
bounded,max_q,115,0.9378608906527356,ASD1_IPHop
bounded,max_q,116,0.9393757531518275,ASD1_IPHop
bounded,max_q,117,0.9408542821306365,ASD1_IPHop
bounded,max_q,118,0.9422973094148417,ASD1_IPHop
bounded,max_q,119,0.9437056503967778,ASD1_IPHop
bounded,max_q,120,0.9450801041849722,ASD1_IPHop
bounded,max_p,1,0.3333333333333333,ASD1_IPHop
bounded,max_p,2,0.3529070144090375,ASD1_IPHop
bounded,max_p,3,0.37248390811546556,ASD1_IPHop
bounded,max_p,4,0.39199470868865627,ASD1_IPHop
bounded,max_p,5,0.41137516998491674,ASD1_IPHop
bounded,max_p,6,0.43056654592334304,ASD1_IPHop
bounded,max_p,7,0.44951585658931786,ASD1_IPHop
bounded,max_p,8,0.46817599956527717,ASD1_IPHop
bounded,max_p,9,0.48650572833194583,ASD1_IPHop
bounded,max_p,10,0.5044695203167027,ASD1_IPHop
bounded,max_p,11,0.5220373566933099,ASD1_IPHop
bounded,max_p,12,0.5391844346871681,ASD1_IPHop
bounded,max_p,13,0.5558908312077492,ASD1_IPHop
bounded,max_p,14,0.5721411343643074,ASD1_IPHop
bounded,max_p,15,0.5879240570215446,ASD1_IPHop
bounded,max_p,16,0.6032320441688119,ASD1_IPHop
bounded,max_p,17,0.6180608836159256,ASD1_IPHop
bounded,max_p,18,0.6324093274597234,ASD1_IPHop
bounded,max_p,19,0.6462787299270777,ASD1_IPHop
bounded,max_p,20,0.6596727056082431,ASD1_IPHop
bounded,max_p,21,0.6725968107484539,ASD1_IPHop
bounded,max_p,22,0.6850582491534447,ASD1_IPHop
bounded,max_p,23,0.6970656033667134,ASD1_IPHop
bounded,max_p,24,0.7086285910695822,ASD1_IPHop
bounded,max_p,25,0.7197578461146246,ASD1_IPHop
bounded,max_p,26,0.7304647232041891,ASD1_IPHop
bounded,max_p,27,0.7407611249452096,ASD1_IPHop
bounded,max_p,28,0.7506593498279054,ASD1_IPHop
bounded,max_p,29,0.7601719595703055,ASD1_IPHop
bounded,max_p,30,0.7693116642262342,ASD1_IPHop
bounded,max_p,31,0.7780912234572934,ASD1_IPHop
bounded,max_p,32,0.7865233624076192,ASD1_IPHop
bounded,max_p,33,0.7946207006839343,ASD1_IPHop
bounded,max_p,34,0.8023956930247123,ASD1_IPHop
bounded,max_p,35,0.8098605803347144,ASD1_IPHop
bounded,max_p,36,0.8170273498597489,ASD1_IPHop
bounded,max_p,37,0.8239077033773609,ASD1_IPHop
bounded,max_p,38,0.8305130323793787,ASD1_IPHop
bounded,max_p,39,0.8368543993196719,ASD1_IPHop
bounded,max_p,40,0.8429425240936143,ASD1_IPHop
bounded,max_p,41,0.8487877750035849,ASD1_IPHop
bounded,max_p,42,0.854400163546761,ASD1_IPHop
bounded,max_p,43,0.859789342437147,ASD1_IPHop
bounded,max_p,44,0.8649646063431689,ASD1_IPHop
bounded,max_p,45,0.8699348948853172,ASD1_IPHop
bounded,max_p,46,0.8747087974954676,ASD1_IPHop
bounded,max_p,47,0.8792945597909312,ASD1_IPHop
bounded,max_p,48,0.8837000911623315,ASD1_IPHop
bounded,max_p,49,0.8879329733154636,ASD1_IPHop
bounded,max_p,50,0.892000469543737,ASD1_IPHop
bounded,max_p,51,0.8959095345400447,ASD1_IPHop
bounded,max_p,52,0.8996668245853108,ASD1_IPHop
bounded,max_p,53,0.9032787079759227,ASD1_IPHop
bounded,max_p,54,0.906751275574093,ASD1_IPHop
bounded,max_p,55,0.9100903513842495,ASD1_IPHop
bounded,max_p,56,0.9133015030751238,ASD1_IPHop
bounded,max_p,57,0.9163900523815678,ASD1_IPHop
bounded,max_p,58,0.9193610853325337,ASD1_IPHop
bounded,max_p,59,0.9222194622623343,ASD1_IPHop
bounded,max_p,60,0.9249698275714578,ASD1_IPHop
bounded,max_p,61,0.9276166192110403,ASD1_IPHop
bounded,max_p,62,0.9301640778717546,ASD1_IPHop
bounded,max_p,63,0.9326162558635172,ASD1_IPHop
bounded,max_p,64,0.9349770256771632,ASD1_IPHop
bounded,max_p,65,0.9372500882232223,ASD1_IPHop
bounded,max_p,66,0.9394389807462401,ASD1_IPHop
bounded,max_p,67,0.9415470844158268,ASD1_IPHop
bounded,max_p,68,0.9435776315978519,ASD1_IPHop
bounded,max_p,69,0.9455337128110192,ASD1_IPHop
bounded,max_p,70,0.9474182833754948,ASD1_IPHop
bounded,max_p,71,0.9492341697614067,ASD1_IPHop
bounded,max_p,72,0.9509840756458905,ASD1_IPHop
bounded,max_p,73,0.9526705876880084,ASD1_IPHop
bounded,max_p,74,0.9542961810313166,ASD1_IPHop
bounded,max_p,75,0.9558632245441566,ASD1_IPHop
bounded,max_p,76,0.9573739858078992,ASD1_IPHop
bounded,max_p,77,0.9588306358634323,ASD1_IPHop
bounded,max_p,78,0.9602352537261327,ASD1_IPHop
bounded,max_p,79,0.9615898306794614,ASD1_IPHop
bounded,max_p,80,0.9628962743571353,ASD1_IPHop
bounded,max_p,81,0.9641564126236248,ASD1_IPHop
bounded,max_p,82,0.9653719972624534,ASD1_IPHop
bounded,max_p,83,0.9665447074815031,ASD1_IPHop
bounded,max_p,84,0.9676761532442185,ASD1_IPHop
bounded,max_p,85,0.9687678784352832,ASD1_IPHop
bounded,max_p,86,0.9698213638690117,ASD1_IPHop
bounded,max_p,87,0.9708380301483727,ASD1_IPHop
bounded,max_p,88,0.9718192403822159,ASD1_IPHop
bounded,max_p,89,0.9727663027679482,ASD1_IPHop
bounded,max_p,90,0.9736804730465729,ASD1_IPHop
bounded,max_p,91,0.9745629568366835,ASD1_IPHop
bounded,max_p,92,0.9754149118536898,ASD1_IPHop
bounded,max_p,93,0.9762374500202444,ASD1_IPHop
bounded,max_p,94,0.977031639473544,ASD1_IPHop
bounded,max_p,95,0.9777985064748923,ASD1_IPHop
bounded,max_p,96,0.9785390372266349,ASD1_IPHop
bounded,max_p,97,0.9792541796013121,ASD1_IPHop
bounded,max_p,98,0.9799448447876221,ASD1_IPHop
bounded,max_p,99,0.9806119088575456,ASD1_IPHop
bounded,max_p,100,0.9812562142587482,ASD1_IPHop
bounded,max_p,101,0.98187857123616,ASD1_IPHop
bounded,max_p,102,0.9824797591864189,ASD1_IPHop
bounded,max_p,103,0.9830605279486674,ASD1_IPHop
bounded,max_p,104,0.9836215990349992,ASD1_IPHop
bounded,max_p,105,0.9841636668036772,ASD1_IPHop
bounded,max_p,106,0.9846873995780687,ASD1_IPHop
bounded,max_p,107,0.9851934407140894,ASD1_IPHop
bounded,max_p,108,0.9856824096187832,ASD1_IPHop
bounded,max_p,109,0.986154902722537,ASD1_IPHop
