omega,iteration,??=0.2,dominant_strategy,,,,??=0.5,,,,,??=0.9,
0.2,47,0.493830107,ASD1_IPHop,,0.5,47,0.593925495,ASD1_IPHop,,0.9,47,0.844690084,ASD1_IPHop
0.2,48,0.497307565,ASD1_IPHop,,0.5,48,0.599265701,ASD1_IPHop,,0.9,48,0.850631741,ASD1_IPHop
0.2,49,0.500778996,ASD1_IPHop,,0.5,49,0.604571251,ASD1_IPHop,,0.9,49,0.856362188,ASD1_IPHop
0.2,50,0.504244088,ASD1_IPHop,,0.5,50,0.609841188,ASD1_IPHop,,0.9,50,0.861887281,ASD1_IPHop
0.2,51,0.507702533,ASD1_IPHop,,0.5,51,0.615074596,ASD1_IPHop,,0.9,51,0.867212885,ASD1_IPHop
0.2,52,0.511154025,ASD1_IPHop,,0.5,52,0.620270592,ASD1_IPHop,,0.9,52,0.872344855,ASD1_IPHop
0.2,53,0.514598265,ASD1_IPHop,,0.5,53,0.625428331,ASD1_IPHop,,0.9,53,0.877289015,ASD1_IPHop
0.2,54,0.518034956,ASD1_IPHop,,0.5,54,0.630547008,ASD1_IPHop,,0.9,54,0.882051141,ASD1_IPHop
0.2,55,0.521463807,ASD1_IPHop,,0.5,55,0.635625853,ASD1_IPHop,,0.9,55,0.886636948,ASD1_IPHop
0.2,56,0.524884529,ASD1_IPHop,,0.5,56,0.640664133,ASD1_IPHop,,0.9,56,0.891052074,ASD1_IPHop
0.2,57,0.528296839,ASD1_IPHop,,0.5,57,0.645661153,ASD1_IPHop,,0.9,57,0.895302072,ASD1_IPHop
0.2,58,0.531700458,ASD1_IPHop,,0.5,58,0.650616257,ASD1_IPHop,,0.9,58,0.899392397,ASD1_IPHop
0.2,59,0.53509511,ASD1_IPHop,,0.5,59,0.655528823,ASD1_IPHop,,0.9,59,0.903328402,ASD1_IPHop
0.2,60,0.538480526,ASD1_IPHop,,0.5,60,0.660398267,ASD1_IPHop,,0.9,60,0.907115328,ASD1_IPHop
0.2,61,0.54185644,ASD1_IPHop,,0.5,61,0.665224041,ASD1_IPHop,,0.9,61,0.9107583,ASD1_IPHop
0.2,62,0.545222591,ASD1_IPHop,,0.5,62,0.670005634,ASD1_IPHop,,0.9,62,0.914262322,ASD1_IPHop
0.2,63,0.548578721,ASD1_IPHop,,0.5,63,0.674742569,ASD1_IPHop,,0.9,63,0.917632276,ASD1_IPHop
0.2,64,0.551924579,ASD1_IPHop,,0.5,64,0.679434404,ASD1_IPHop,,0.9,64,0.920872913,ASD1_IPHop
0.2,65,0.555259918,ASD1_IPHop,,0.5,65,0.684080734,ASD1_IPHop,,0.9,65,0.92398886,ASD1_IPHop
0.2,66,0.558584496,ASD1_IPHop,,0.5,66,0.688681184,ASD1_IPHop,,0.9,66,0.926984613,ASD1_IPHop
0.2,67,0.561898073,ASD1_IPHop,,0.5,67,0.693235418,ASD1_IPHop,,0.9,67,0.929864538,ASD1_IPHop
0.2,68,0.565200419,ASD1_IPHop,,0.5,68,0.697743127,ASD1_IPHop,,0.9,68,0.932632871,ASD1_IPHop
0.2,69,0.568491304,ASD1_IPHop,,0.5,69,0.702204037,ASD1_IPHop,,0.9,69,0.93529372,ASD1_IPHop
0.2,70,0.571770504,ASD1_IPHop,,0.5,70,0.706617908,ASD1_IPHop,,0.9,70,0.937851065,ASD1_IPHop
0.2,71,0.575037803,ASD1_IPHop,,0.5,71,0.710984526,ASD1_IPHop,,0.9,71,0.94030876,ASD1_IPHop
0.2,72,0.578292985,ASD1_IPHop,,0.5,72,0.71530371,ASD1_IPHop,,0.9,72,0.942670533,ASD1_IPHop
0.2,73,0.581535842,ASD1_IPHop,,0.5,73,0.719575308,ASD1_IPHop,,0.9,73,0.94493999,ASD1_IPHop
0.2,74,0.584766171,ASD1_IPHop,,0.5,74,0.723799198,ASD1_IPHop,,0.9,74,0.947120615,ASD1_IPHop
0.2,75,0.587983773,ASD1_IPHop,,0.5,75,0.727975283,ASD1_IPHop,,0.9,75,0.949215777,ASD1_IPHop
