Attacker Strategy,ip_port_hop,container_rotate,microseg_acl
overflow_rce,-14.119417686421883,-14.667147873119067,-13.800949887098316
ddos_l7,-14.119417686421883,-14.667147873119067,-13.800949887098316
lateral_ssh,-14.119417686421883,-14.667147873119067,-13.800949887098318
