t,q_1,q_2,q_3
0,0.33631374436919037,0.31495226708800017,0.34873398854280946
1,0.33343796549649196,0.32968080351848206,0.336881230985026
2,0.33611119599130024,0.3178729408776224,0.34601586313107735
3,0.3336898691893751,0.32734386750253025,0.3389662633080947
4,0.33584167212152266,0.31974392313493233,0.34441440474354496
5,0.3339569829125321,0.32584509139291923,0.3401979256945487
6,0.3355889555631137,0.32094517439767006,0.3434658700392162
7,0.33418875637105067,0.3248818229934181,0.34092942063553117
8,0.3353810661116495,0.3217179690257674,0.3429009648625832
9,0.33437214180627317,0.3242615658541028,0.341366292339624
10,0.33522137220869475,0.3222160024819829,0.34256262530932247
11,0.33450978291557115,0.3238615169354419,0.341628700148987
12,0.33510372526263094,0.32253746094949104,0.3423588137878781
13,0.3346096483242168,0.32360312215013676,0.34178722952564644
14,0.3350194429047625,0.3227452296856723,0.3422353274095652
15,0.3346804310646053,0.3234360110733865,0.3418835578620082
16,0.33496024680764314,0.3228796764602241,0.3421600767321329
17,0.3347297578115714,0.3233278159541841,0.3419424262342446
18,0.3349192735596835,0.32296676671889174,0.3421139597214247
19,0.33476369824776203,0.3232576980265474,0.3419786037256906
20,0.3348912271632253,0.32302323174453784,0.3420855410922369
21,0.33478682428035,0.3232122186238142,0.3420009570958358
22,0.33487219475317265,0.32305986950601406,0.3420679357408134
23,0.33480246096775856,0.3231826986052291,0.34201484042701247
24,0.3348593675548569,0.32308365831793706,0.34205697412720615
25,0.3348129690325084,0.3231635254956426,0.34202350547184907
26,0.334850769960746,0.3230991134097731,0.34205011662948087
27,0.33481999565591286,0.32315106584939285,0.34202893849469435
28,0.33484503304909097,0.3231091593606711,0.34204580759023795
29,0.33482467529526366,0.3231429651223677,0.3420323595823687
30,0.33484121900383107,0.3231156921881229,0.34204308880804596
31,0.33482778150756065,0.3231376962280784,0.34203452226436093
32,0.3348386910015505,0.32311994206130656,0.34204136693714293
33,0.3348298376398265,0.32313426801407025,0.3420358943461032
34,0.33483701962037243,0.32312270768328183,0.3420402726963457
35,0.3348311955534442,0.323132036763766,0.3420367676827898
36,0.3348359169131421,0.3231245079305496,0.34203957515630845
37,0.33483209062384317,0.32313058417599466,0.3420373252001622
38,0.3348351906752615,0.32312568006402304,0.3420391292607154
39,0.3348326796569783,0.32312963829945346,0.34203768204356816
40,0.33483471308794815,0.3231264433950332,0.3420388435170187
41,0.3348330667630721,0.32312902225663,0.3420379109802979
42,0.3348343994112166,0.3231269405903544,0.3420386599984291
43,0.3348333208718268,0.3231286209651072,0.342038058163066
44,0.33483419360850686,0.32312726448856033,0.3420385419029329
45,0.33483348751404035,0.32312835952538493,0.34203815296057477
46,0.33483405870318556,0.32312747552042137,0.34203846577639313
47,0.33483359670589985,0.3231281891774259,0.34203821411667423
48,0.3348339703392594,0.3231276130314043,0.34203841662933626
49,0.3348336682031296,0.3231280781708911,0.3420382536259792
50,0.3348339124979222,0.3231277026441188,0.34203838485795895
51,0.33483371499035897,0.32312800582732293,0.3420382791823181
52,0.3348338746570776,0.32312776104760266,0.34203836429531975
53,0.3348337455918818,0.3231279586769104,0.34203829573120786
54,0.33483384991262366,0.3231277991138073,0.34203835097356905
55,0.33483376559828043,0.32312792794422857,0.34203830645749106
56,0.3348338337385474,0.323127823926143,0.34203834233530966
57,0.3348337786730075,0.32312790791147333,0.3420383134155191
58,0.33483382317010035,0.32312784010020623,0.3420383367296934
59,0.3348337872149712,0.32312789485269294,0.3420383179323359
