def_strategy,mu,attack_mode,n_attackers,n_targets,resp_time_ms_mean,resp_time_ms_p95,load_time_ms_mean,load_time_ms_p95,ASSC_ms_mean,AIC_ms_mean,NC_ms_mean,cost_total_ms_mean
GD3,400,dynamic,2,1,912.7690473081169,912.7690473081169,949.2445236540585,949.2445236540585,240.0,175.0,167.41378019108924,2060.7335709621752
GD3,600,static,1,1,1270.252276441043,1270.252276441043,1328.0261382205215,1328.0261382205215,240.0,175.0,167.41378019108924,2771.0784146615647
GD1,600,dynamic,2,1,1403.872632484603,1416.885115476326,1465.2963162423014,1471.802557738163,240.0,175.0,167.41378019108924,3067.8889487269043
GD3,600,dynamic,2,1,1396.489804647521,1396.489804647521,1461.6049023237606,1461.6049023237606,240.0,175.0,167.41378019108924,3056.8147069712813
GD3,600,static,3,1,1321.5823779588645,1321.5823779588645,1378.6911889794324,1378.6911889794324,240.0,175.0,167.41378019108924,2873.073566938297
GD1,600,static,3,1,1318.874190511252,1324.4528557363053,1377.337095255626,1380.1264278681526,240.0,175.0,167.41378019108924,2869.0112857668782
GD2,600,dynamic,2,1,1412.4649333600005,1412.4649333600005,1469.5924666800001,1469.5924666800001,240.0,175.0,167.41378019108924,3080.7774000400004
GD2,600,static,3,1,1320.2684958850623,1320.2684958850623,1378.034247942531,1378.034247942531,240.0,175.0,167.41378019108924,2871.1027438275933
GD1,800,dynamic,2,1,2400.9969200357,2407.145355991439,2481.85846001785,2484.9326779957196,240.0,175.0,167.41378019108924,5081.57538005355
GD2,800,static,3,1,2226.533880417321,2226.533880417321,2304.1669402086604,2304.1669402086604,240.0,175.0,167.41378019108924,4703.500820625982
GD3,800,dynamic,2,1,2406.1566966633263,2412.6391662017254,2484.438348331663,2487.679583100862,240.0,175.0,167.41378019108924,5089.315044994989
GD1,800,static,1,1,2177.931135213325,2180.772052059304,2254.8655676066624,2256.286026029652,240.0,175.0,167.41378019108924,4605.596702819988
GD3,800,static,3,1,2233.1383535755385,2233.1383535755385,2307.4691767877694,2307.4691767877694,240.0,175.0,167.41378019108924,4713.407530363308
GD2,800,dynamic,2,1,2408.9640040281656,2416.253105917112,2485.842002014083,2489.486552958556,240.0,175.0,167.41378019108924,5093.526006042249
GD1,800,static,3,1,2211.1112482842523,2211.1112482842523,2296.455624142126,2296.455624142126,240.0,175.0,167.41378019108924,4680.366872426378
GD3,200,static,3,1,588.1325420084123,594.3355450740064,605.9662710042061,609.0677725370032,240.0,175.0,167.41378019108924,1366.8988130126186
GD3,200,static,1,2,428.90615091120645,428.90615091120645,451.9030754556032,451.9030754556032,240.0,175.0,167.41378019108924,967.2092263668096
GD1,200,static,1,3,391.0035296380184,391.0035296380184,416.46843148567586,416.46843148567586,240.0,175.0,167.41378019108924,865.0719611236942
GD3,200,dynamic,2,1,596.1645256071753,599.3438978851275,619.4422628035877,621.0319489425636,240.0,175.0,167.41378019108924,1414.326788410763
GD2,200,dynamic,2,1,596.9367249293107,596.9367249293107,619.8283624646554,619.8283624646554,240.0,175.0,167.41378019108924,1415.485087393966
GD1,200,static,3,1,581.9021928460022,583.0009498784416,602.8510964230011,603.4004749392207,240.0,175.0,167.41378019108924,1357.5532892690032
GD3,200,static,1,1,539.7238116034238,539.7238116034238,556.7619058017119,556.7619058017119,240.0,175.0,167.41378019108924,1269.2857174051358
GD2,400,dynamic,2,1,909.8052362887682,909.8052362887682,947.7626181443841,947.7626181443841,240.0,175.0,167.41378019108924,2056.287854433152
GD2,400,static,1,1,816.3985949001078,831.5498844155871,853.0992974500539,860.6749422077936,240.0,175.0,167.41378019108924,1842.2978923501616
GD3,400,dynamic,2,1,912.2250002872701,912.2250002872701,948.9725001436351,948.9725001436351,240.0,175.0,167.41378019108924,2059.917500430905
GD1,400,dynamic,2,1,917.1558152628426,917.1558152628426,951.4379076314212,951.4379076314212,240.0,175.0,167.41378019108924,2067.3137228942637
GD2,400,static,3,1,866.5987021397566,866.5987021397566,903.1993510698783,903.1993510698783,240.0,175.0,167.41378019108924,1942.5980532096348
GD1,400,static,3,1,855.6049896790425,857.3957126899527,897.7024948395213,898.5978563449763,240.0,175.0,167.41378019108924,1926.1074845185638
GD1,400,static,1,1,804.3538262280883,808.2513429162989,847.0769131140441,849.0256714581494,240.0,175.0,167.41378019108924,1824.2307393421324
GD3,600,static,1,1,1260.5422367993976,1260.5422367993976,1323.1711183996988,1323.1711183996988,240.0,175.0,167.41378019108924,2756.5133551990966
GD3,600,static,3,1,1322.7736270514256,1335.3025305313513,1379.286813525713,1385.5512652656757,240.0,175.0,167.41378019108924,2874.8604405771384
GD3,600,dynamic,2,1,1403.3366761715624,1407.2301052208136,1465.0283380857813,1466.9750526104067,240.0,175.0,167.41378019108924,3067.0850142573436
GD2,600,dynamic,2,1,1397.8545479408597,1402.7219171020809,1462.2872739704299,1464.7209585510404,240.0,175.0,167.41378019108924,3058.8618219112896
GD2,600,static,1,1,1272.3462941893827,1273.3561478598338,1329.0731470946912,1329.5780739299169,240.0,175.0,167.41378019108924,2774.2194412840745
GD1,600,static,1,1,1250.787225117644,1253.0614850882334,1318.2936125588221,1319.4307425441168,240.0,175.0,167.41378019108924,2741.8808376764664
GD1,600,dynamic,2,1,1400.3119340019173,1400.3119340019173,1463.5159670009587,1463.5159670009587,240.0,175.0,167.41378019108924,3062.5479010028757
GD3,800,static,3,1,2206.3258713681325,2206.3258713681325,2294.0629356840664,2294.0629356840664,240.0,175.0,167.41378019108924,4673.188807052199
GD3,800,dynamic,2,1,2396.227607219285,2399.9155412386117,2479.4738036096423,2481.317770619306,240.0,175.0,167.41378019108924,5074.421410828927
GD1,800,static,1,1,2173.7714598217117,2179.1688684623964,2252.785729910856,2255.484434231198,240.0,175.0,167.41378019108924,4599.357189732567
GD2,800,static,3,1,2216.8132414023144,2222.8362013207534,2299.306620701157,2302.318100660377,240.0,175.0,167.41378019108924,4688.919862103471
GD2,800,dynamic,2,1,2406.1844878869906,2411.707661168747,2484.4522439434954,2487.2138305843737,240.0,175.0,167.41378019108924,5089.356731830487
GD1,800,static,3,1,2217.114352370585,2221.132415510703,2299.4571761852926,2301.4662077553517,240.0,175.0,167.41378019108924,4689.371528555878
GD1,800,dynamic,2,1,2400.412072724545,2400.412072724545,2481.5660363622724,2481.5660363622724,240.0,175.0,167.41378019108924,5080.698109086818
GD1,200,dynamic,2,2,477.20209793168743,477.20209793168743,497.7810489658437,497.7810489658437,240.0,175.0,167.41378019108924,1074.3431468975311
GD1,200,static,1,3,398.192240706362,398.192240706362,420.0627870198477,420.0627870198477,240.0,175.0,167.41378019108924,875.8550277262096
GD3,200,static,1,1,532.6209669459474,541.4179083851981,553.2104834729737,557.6089541925991,240.0,175.0,167.41378019108924,1258.6314504189213
GD2,200,static,3,2,461.5687740739745,461.5687740739745,480.73438703698724,480.73438703698724,240.0,175.0,167.41378019108924,1028.703161110962
GD2,200,dynamic,2,1,605.626393208353,611.0186409573131,624.1731966041766,626.8693204786565,240.0,175.0,167.41378019108924,1428.5195898125296
GD2,200,static,3,1,584.8682125047882,589.8063101254819,604.3341062523941,606.803155062741,240.0,175.0,167.41378019108924,1362.0023187571824
GD1,200,dynamic,2,1,602.3666677005208,602.3666677005208,622.5433338502604,622.5433338502604,240.0,175.0,167.41378019108924,1423.6300015507811
GD3,200,static,3,1,592.8111439696547,592.8111439696547,608.3055719848273,608.3055719848273,240.0,175.0,167.41378019108924,1373.916715954482
GD1,200,static,1,1,531.3922252980568,531.3922252980568,552.5961126490283,552.5961126490283,240.0,175.0,167.41378019108924,1256.7883379470852
GD3,400,static,3,1,854.1636445027186,855.3419807898985,896.9818222513593,897.5709903949491,240.0,175.0,167.41378019108924,1923.9454667540776
GD2,400,dynamic,2,1,906.2159033062072,906.2159033062072,945.9679516531036,945.9679516531036,240.0,175.0,167.41378019108924,2050.9038549593106
GD1,400,static,1,1,805.9176994140236,805.9176994140236,847.8588497070117,847.8588497070117,240.0,175.0,167.41378019108924,1826.5765491210352
GD2,400,static,1,1,807.2612083353129,809.8494082048984,848.5306041676564,849.8247041024491,240.0,175.0,167.41378019108924,1828.5918125029693
GD1,400,dynamic,2,1,913.6676206585308,918.8731502907973,949.6938103292655,952.2965751453987,240.0,175.0,167.41378019108924,2062.0814309877965
GD3,400,static,1,1,813.719494767847,813.719494767847,851.7597473839235,851.7597473839235,240.0,175.0,167.41378019108924,1838.2792421517704
GD3,400,dynamic,2,1,912.1182814436445,912.8326201608438,948.9191407218223,949.2763100804219,240.0,175.0,167.41378019108924,2059.757422165467
GD1,600,static,1,1,1268.4060323906497,1271.689522041548,1327.103016195325,1328.744761020774,240.0,175.0,167.41378019108924,2768.309048585975
GD1,600,dynamic,2,1,1403.1361339392254,1414.5537420500807,1464.9280669696127,1470.6368710250404,240.0,175.0,167.41378019108924,3066.784200908838
GD3,600,static,1,1,1266.752607480998,1266.752607480998,1326.2763037404989,1326.2763037404989,240.0,175.0,167.41378019108924,2765.828911221497
GD3,600,static,3,1,1317.626026097204,1318.7111756920795,1376.713013048602,1377.2555878460396,240.0,175.0,167.41378019108924,2867.1390391458062
GD2,600,dynamic,2,1,1402.97727508784,1406.4262019579248,1464.84863754392,1466.5731009789624,240.0,175.0,167.41378019108924,3066.54591263176
GD1,600,static,3,1,1310.0219154823076,1310.0219154823076,1372.9109577411539,1372.9109577411539,240.0,175.0,167.41378019108924,2855.732873223462
GD3,800,static,1,1,2167.8028563687767,2171.8279687365816,2249.801428184388,2251.8139843682907,240.0,175.0,167.41378019108924,4590.404284553166
GD3,800,dynamic,2,1,2401.641676030261,2401.641676030261,2482.1808380151306,2482.1808380151306,240.0,175.0,167.41378019108924,5082.542514045392
GD1,800,static,3,1,2225.5813188451298,2225.5813188451298,2303.6906594225647,2303.6906594225647,240.0,175.0,167.41378019108924,4702.071978267694
GD2,800,static,3,1,2218.283177328275,2223.0984199322393,2300.0415886641376,2302.4492099661197,240.0,175.0,167.41378019108924,4691.124765992412
GD2,800,static,1,1,2173.290942542671,2173.290942542671,2252.5454712713354,2252.5454712713354,240.0,175.0,167.41378019108924,4598.636413814006
GD1,800,dynamic,2,1,2407.9376025802053,2407.9376025802053,2485.3288012901025,2485.3288012901025,240.0,175.0,167.41378019108924,5091.986403870308
GD2,800,dynamic,2,1,2405.809573719314,2409.357414817434,2484.264786859657,2486.038707408717,240.0,175.0,167.41378019108924,5088.7943605789715
GD1,800,static,1,1,2172.9606422803117,2172.9606422803117,2252.3803211401555,2252.3803211401555,240.0,175.0,167.41378019108924,4598.140963420467
GD3,800,static,3,1,2207.9285983244304,2207.9285983244304,2294.864299162215,2294.864299162215,240.0,175.0,167.41378019108924,4675.592897486646
GD3,200,static,3,2,462.32732104992743,462.32732104992743,481.1136605249637,481.1136605249637,240.0,175.0,167.41378019108924,1029.8409815748912
GD3,200,dynamic,2,3,429.07256825092713,429.07256825092713,452.9896174587969,452.9896174587969,240.0,175.0,167.41378019108924,948.302185709724
GD3,200,static,3,1,588.7169993129828,589.8285174997603,606.2584996564914,606.8142587498802,240.0,175.0,167.41378019108924,1367.775498969474
GD2,200,static,3,3,408.6304289598135,408.6304289598135,433.6152144799068,433.6152144799068,240.0,175.0,167.41378019108924,899.8456434397203
GD2,200,static,1,1,539.1957828449583,545.1425951311898,556.4978914224791,559.4712975655948,240.0,175.0,167.41378019108924,1268.4936742674374
GD1,200,static,3,1,580.4927669870983,580.4927669870983,602.1463834935491,602.1463834935491,240.0,175.0,167.41378019108924,1355.4391504806474
GD2,200,static,3,1,577.9074954437818,581.3521690433797,600.853747721891,602.5760845216898,240.0,175.0,167.41378019108924,1351.5612431656725
GD3,200,dynamic,2,1,601.7272503607275,601.7272503607275,622.2236251803638,622.2236251803638,240.0,175.0,167.41378019108924,1422.6708755410912
GD3,400,static,3,1,862.1302361784558,863.8384707599786,900.9651180892279,901.8192353799892,240.0,175.0,167.41378019108924,1935.8953542676836
GD1,400,static,3,1,860.6168112372396,868.3309418612755,900.2084056186197,904.0654709306378,240.0,175.0,167.41378019108924,1933.6252168558594
GD2,400,static,3,1,859.7384387141069,859.7384387141069,899.7692193570534,899.7692193570534,240.0,175.0,167.41378019108924,1932.3076580711602
GD3,400,static,1,1,812.1175534256749,812.1175534256749,850.9587767128374,850.9587767128374,240.0,175.0,167.41378019108924,1835.8763301385122
GD1,400,static,1,1,818.5666114062205,829.2597656064476,854.1833057031102,859.5298828032237,240.0,175.0,167.41378019108924,1845.5499171093309
GD3,600,static,3,1,1312.3664985757596,1312.3664985757596,1374.0832492878799,1374.0832492878799,240.0,175.0,167.41378019108924,2859.2497478636396
GD3,600,dynamic,2,1,1401.6183690648488,1403.050563045117,1464.1691845324247,1464.8852815225584,240.0,175.0,167.41378019108924,3064.5075535972733
GD3,600,static,1,1,1271.8812616519838,1277.8218334651935,1328.8406308259919,1331.8109167325968,240.0,175.0,167.41378019108924,2773.521892477976
GD1,600,dynamic,2,1,1403.9715066440378,1403.9715066440378,1465.345753322019,1465.345753322019,240.0,175.0,167.41378019108924,3068.0372599660564
GD2,600,static,1,1,1263.4368076252358,1263.4368076252358,1324.6184038126178,1324.6184038126178,240.0,175.0,167.41378019108924,2760.8552114378535
GD1,600,static,3,1,1305.113612377516,1309.4994431162836,1370.456806188758,1372.649721558142,240.0,175.0,167.41378019108924,2848.3704185662737
GD2,600,static,3,1,1312.064142032826,1312.064142032826,1373.932071016413,1373.932071016413,240.0,175.0,167.41378019108924,2858.796213049239
GD1,800,static,1,1,2174.5450437710806,2184.7549155912498,2253.17252188554,2258.277457795625,240.0,175.0,167.41378019108924,4600.517565656621
GD3,800,static,1,1,2165.490688253256,2169.2366801143417,2248.645344126628,2250.5183400571705,240.0,175.0,167.41378019108924,4586.936032379885
GD2,800,dynamic,2,1,2402.277862121471,2402.2960409490947,2482.4989310607352,2482.5080204745473,240.0,175.0,167.41378019108924,5083.496793182207
GD2,800,static,3,1,2217.631130231951,2222.878917296624,2299.7155651159756,2302.339458648312,240.0,175.0,167.41378019108924,4690.146695347927
GD3,800,static,3,1,2213.8595295560335,2213.8595295560335,2297.829764778017,2297.829764778017,240.0,175.0,167.41378019108924,4684.48929433405
GD3,800,dynamic,2,1,2402.332577592248,2414.9192656562204,2482.526288796124,2488.81963282811,240.0,175.0,167.41378019108924,5083.578866388372
GD1,800,static,3,1,2217.2616961867107,2218.7584544162173,2299.5308480933554,2300.2792272081088,240.0,175.0,167.41378019108924,4689.592544280066
GD3,200,static,1,2,450.7595073777286,450.7595073777286,462.8297536888643,462.8297536888643,240.0,175.0,167.41378019108924,999.9892610665928
GD1,200,dynamic,2,3,433.4133494711965,433.4133494711965,455.16000806893163,455.16000806893163,240.0,175.0,167.41378019108924,954.8133575401282
GD1,200,static,3,2,462.7360475234883,462.7360475234883,481.31802376174414,481.31802376174414,240.0,175.0,167.41378019108924,1030.4540712852324
GD3,200,static,1,3,395.0869664110412,395.0869664110412,418.5101498721873,418.5101498721873,240.0,175.0,167.41378019108924,871.1971162832285
GD1,200,static,3,1,579.6176725092417,581.7706885298508,601.7088362546209,602.7853442649254,240.0,175.0,167.41378019108924,1354.1265087638624
GD3,200,static,3,1,570.9486392086122,579.2998917583915,597.374319604306,601.5499458791958,240.0,175.0,167.41378019108924,1341.1229588129181
GD2,200,static,3,1,592.1066779571173,592.1066779571173,607.9533389785587,607.9533389785587,240.0,175.0,167.41378019108924,1372.860016935676
GD1,200,dynamic,2,1,597.5874798795611,605.7851094670168,620.1537399397806,624.2525547335084,240.0,175.0,167.41378019108924,1416.4612198193417
GD2,400,static,3,1,866.4821123501094,866.4821123501094,903.1410561750547,903.1410561750547,240.0,175.0,167.41378019108924,1942.423168525164
GD1,400,static,3,1,850.2320257561822,850.2320257561822,895.0160128780911,895.0160128780911,240.0,175.0,167.41378019108924,1918.0480386342733
GD1,400,static,1,1,814.2965338698363,816.0451972868506,852.0482669349182,852.9225986434253,240.0,175.0,167.41378019108924,1839.1448008047544
GD1,400,dynamic,2,1,899.5619737357588,899.5619737357588,942.6409868678794,942.6409868678794,240.0,175.0,167.41378019108924,2040.922960603638
GD3,400,static,1,1,809.0611519701614,813.619564171066,849.4305759850807,851.709782085533,240.0,175.0,167.41378019108924,1831.2917279552419
GD3,400,static,3,1,844.0901593398742,844.0901593398742,891.9450796699371,891.9450796699371,240.0,175.0,167.41378019108924,1908.8352390098112
GD2,400,dynamic,2,1,901.6877387721383,901.6877387721383,943.7038693860692,943.7038693860692,240.0,175.0,167.41378019108924,2044.1116081582074
GD3,400,dynamic,2,1,919.6454118388559,919.6454118388559,952.6827059194279,952.6827059194279,240.0,175.0,167.41378019108924,2071.0481177582838
GD2,600,static,1,1,1276.0821925905273,1276.0821925905273,1330.9410962952636,1330.9410962952636,240.0,175.0,167.41378019108924,2779.823288885791
GD1,600,static,3,1,1321.2038143626294,1329.1958361758755,1378.5019071813144,1382.4979180879377,240.0,175.0,167.41378019108924,2872.505721543944
GD3,600,static,1,1,1265.8211277041682,1265.8211277041682,1325.810563852084,1325.810563852084,240.0,175.0,167.41378019108924,2764.431691556252
GD3,600,static,3,1,1324.3363173577186,1327.1562133254408,1380.0681586788592,1381.4781066627202,240.0,175.0,167.41378019108924,2877.204476036578
GD1,600,dynamic,2,1,1406.6124639618438,1410.0135862639254,1466.666231980922,1468.3667931319626,240.0,175.0,167.41378019108924,3071.9986959427656
GD2,600,static,3,1,1308.3537714232598,1308.3537714232598,1372.07688571163,1372.07688571163,240.0,175.0,167.41378019108924,2853.23065713489
GD3,800,static,3,1,2213.7896952989736,2224.7782397155693,2297.7948476494867,2303.289119857784,240.0,175.0,167.41378019108924,4684.38454294846
GD3,800,dynamic,2,1,2402.4418602253786,2408.7757056241726,2482.580930112689,2485.747852812086,240.0,175.0,167.41378019108924,5083.7427903380685
GD2,800,static,1,1,2169.863563639237,2176.5341644329073,2250.8317818196188,2254.1670822164538,240.0,175.0,167.41378019108924,4593.495345458855
GD1,800,static,1,1,2177.3285487527496,2177.3285487527496,2254.5642743763747,2254.5642743763747,240.0,175.0,167.41378019108924,4604.692823129125
GD3,800,static,1,1,2175.554228328736,2175.554228328736,2253.677114164368,2253.677114164368,240.0,175.0,167.41378019108924,4602.031342493104
GD2,800,static,3,1,2222.531358829952,2222.531358829952,2302.165679414976,2302.165679414976,240.0,175.0,167.41378019108924,4697.497038244927
GD1,800,dynamic,2,1,2414.915994874189,2414.915994874189,2488.8179974370946,2488.8179974370946,240.0,175.0,167.41378019108924,5102.453992311283
GD1,200,static,3,2,450.8254032502705,450.8254032502705,475.36270162513523,475.36270162513523,240.0,175.0,167.41378019108924,1012.5881048754057
GD3,200,static,1,3,400.20328208385615,400.20328208385615,421.0683077085948,421.0683077085948,240.0,175.0,167.41378019108924,878.8715897924509
GD3,200,dynamic,2,2,491.3229772296994,491.3229772296994,504.8414886148497,504.8414886148497,240.0,175.0,167.41378019108924,1095.524465844549
GD1,200,static,3,3,419.14358297844444,419.14358297844444,438.87179148922223,438.87179148922223,240.0,175.0,167.41378019108924,915.6153744676667
GD1,200,static,3,1,576.6851714324813,576.6851714324813,600.2425857162407,600.2425857162407,240.0,175.0,167.41378019108924,1349.7277571487218
GD2,200,static,3,1,585.2397919706368,585.2397919706368,604.5198959853184,604.5198959853184,240.0,175.0,167.41378019108924,1362.559687955955
GD1,200,static,1,1,532.1951334964501,537.2584721053664,552.997566748225,555.5292360526832,240.0,175.0,167.41378019108924,1257.992700244675
GD3,200,dynamic,2,1,594.3943894126259,600.6958967066748,618.557194706313,621.7079483533374,240.0,175.0,167.41378019108924,1411.6715841189389
GD2,400,static,1,1,813.0666481470264,814.9357921768143,851.4333240735132,852.3678960884071,240.0,175.0,167.41378019108924,1837.2999722205395
GD1,400,static,3,1,871.9190555255016,876.8966933184828,905.8595277627508,908.3483466592413,240.0,175.0,167.41378019108924,1950.578583288252
GD1,400,dynamic,2,1,913.6744924642305,914.2798559749499,949.6972462321153,949.9999279874751,240.0,175.0,167.41378019108924,2062.0917386963456
GD2,400,dynamic,2,1,896.2109249445248,899.3980394923027,940.9654624722624,942.5590197461514,240.0,175.0,167.41378019108924,2035.896387416787
GD3,400,static,1,1,810.2868836966818,811.4213953412956,850.0434418483409,850.6106976706477,240.0,175.0,167.41378019108924,1833.1303255450225
GD3,400,static,3,1,868.8644875574445,868.8644875574445,904.3322437787223,904.3322437787223,240.0,175.0,167.41378019108924,1945.9967313361667
GD2,400,static,3,1,850.1021528230891,850.1021528230891,894.9510764115445,894.9510764115445,240.0,175.0,167.41378019108924,1917.8532292346335
GD1,600,dynamic,2,1,1408.963062652703,1415.1457162276802,1467.8415313263513,1470.93285811384,240.0,175.0,167.41378019108924,3075.5245939790543
GD2,600,static,1,1,1250.7593272198105,1250.7593272198105,1318.2796636099054,1318.2796636099054,240.0,175.0,167.41378019108924,2741.838990829716
GD3,600,static,1,1,1272.9284341987718,1272.9284341987718,1329.364217099386,1329.364217099386,240.0,175.0,167.41378019108924,2775.0926512981578
GD2,600,dynamic,2,1,1395.0650334375168,1395.0650334375168,1460.8925167187583,1460.8925167187583,240.0,175.0,167.41378019108924,3054.6775501562747
GD1,600,static,3,1,1311.3472246631143,1312.1722347444754,1373.5736123315573,1373.9861173722377,240.0,175.0,167.41378019108924,2857.7208369946716
