iteration,AS1,AS2,AS3
0,1.0537791119349076e-16,0.7386552333639129,0.26134476663608713
1,1.0248143709287085e-16,0.7405590252452091,0.2594409747547909
2,9.967193430103287e-17,0.742458834065089,0.2575411659349109
3,9.694485286548862e-17,0.7443536068690774,0.25564639313092247
4,9.429622314462616e-17,0.7462424825078243,0.25375751749217557
5,9.172255104365545e-17,0.7481247680251139,0.25187523197488604
6,8.922072050797251e-17,0.7499999179545599,0.25000008204544005
7,8.678790189924132e-17,0.7518675200331646,0.2481324799668352
8,8.442146124100975e-17,0.7537272908304913,0.2462727091695087
9,8.211885452282434e-17,0.755579091335466,0.24442090866453406
10,7.987750959615542e-17,0.7574229498935081,0.2425770501064918
11,7.769464436860437e-17,0.7592591603930186,0.2407408396069813
12,7.556698725395029e-17,0.7610884088025721,0.23891159119742778
13,7.349035291809635e-17,0.7629120266140902,0.2370879733859097
14,7.145898512696754e-17,0.7647324007863283,0.23526759921367144
15,6.946461824608383e-17,0.7665535962652347,0.23344640373476522
16,6.749537068984494e-17,0.7683821570950362,0.23161784290496368
17,6.553512322758509e-17,0.770227732292219,0.22977226770778103
18,6.356522153227841e-17,0.7721024034006452,0.22789759659935477
19,6.157154254234668e-17,0.7740166447431521,0.22598335525684776
20,5.955702997192627e-17,0.7759712819669113,0.22402871803308858
21,5.754781942480063e-17,0.7779522588592838,0.22204774114071607
22,5.557704755920578e-17,0.7799393545627762,0.22006064543722367
23,5.3663691802815813e-17,0.7819197057322251,0.21808029426777478
24,5.181282921404577e-17,0.7838887282204726,0.2161112717795273
25,5.002414592611096e-17,0.7858452317858329,0.21415476821416712
26,4.8295977481394636e-17,0.7877889386997723,0.21221106130022763
27,4.6626405043103735e-17,0.7897197851171648,0.21028021488283516
28,4.501350452976122e-17,0.791637756400179,0.20836224359982095
29,4.3455398683171196e-17,0.7935428510465039,0.20645714895349607
30,4.1950277887140246e-17,0.7954350588339258,0.2045649411660741
31,4.049636357850921e-17,0.7973144053114561,0.20268559468854372
32,3.909196007669265e-17,0.7991808856290805,0.20081911437091943
33,3.773541821104613e-17,0.801034507119677,0.19896549288032297
34,3.6425142243360153e-17,0.8028752787292909,0.19712472127070904
35,3.515958819556061e-17,0.8047032109931299,0.19529678900687003
36,3.393726222754564e-17,0.8065183160114094,0.19348168398859059
37,3.275671906373301e-17,0.8083206074250622,0.1916793925749379
38,3.161656046692976e-17,0.8101101003913267,0.18988989960867342
39,3.0515433758173527e-17,0.8118868115592277,0.18811318844077235
