iteration,DS1,DS2,DS3
0,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
1,0.9395848313084032,0.06036292538748297,5.22433040966011e-05
2,0.9508651800785788,0.04904407660081686,9.074332083023786e-05
3,0.9600096300058341,0.039832914232755555,0.00015745575846879626
4,0.9673699891866868,0.0323570054175,0.0002730054341055281
5,0.9732277137863381,0.026299203133795346,0.00047308258132502224
6,0.9777866980063739,0.021393872143774535,0.0008194363414274761
7,0.9811598997252969,0.017421155537062017,0.0014188601991047204
8,0.9833445992179491,0.014200592752998755,0.002455909098308241
9,0.9841569736494111,0.01158924443218044,0.004253781918408522
10,0.983188687859161,0.009456857750953881,0.007354454389886208
11,0.9795892581358666,0.007710666976997417,0.012700074887122662
12,0.9718452618487295,0.006269735679740156,0.02188500247170341
13,0.9573604901395971,0.005066794094108561,0.03757271576403776
14,0.9318667004268673,0.004045392093688466,0.06408790750890543
15,0.8887468643254023,0.00315850568135219,0.10809462960801244
16,0.8187569353918341,0.002369771441501353,0.17887329821663572
17,0.7115675029645573,0.001659111211979456,0.2867733193584638
18,0.5618346486303012,0.0010329857158357313,0.4371332457433442
19,0.38132664578226216,0.0005346459406731319,0.6181387082770647
20,0.20788062154829262,0.00020438828982081997,0.791914990161885
21,0.08662356870702095,5.231149427555218e-05,0.9133241197987247
22,0.028295757762514747,8.79048317143858e-06,0.971695451754023
23,0.008006998115689824,1.1122867579668772e-06,0.9919918896015488
24,0.0021406526930812324,1.2577469216247298e-07,0.9978592214772098
25,0.0005616290318918905,1.3867566657558906e-08,0.9994383578582197
26,0.00014633138159211092,1.5336606501752838e-09,0.9998536566484593
27,3.798716771190337e-05,1.714324360973862e-10,0.9999621564253341
28,9.833904469824853e-06,1.9402925196880076e-11,0.9999881854881348
29,0.0,0.0,1.0
30,0.0,0.0,1.0
31,0.0,0.0,1.0
32,0.0,0.0,1.0
33,0.0,0.0,1.0
34,0.0,0.0,1.0
35,0.0,0.0,1.0
36,0.0,0.0,1.0
37,0.0,0.0,1.0
38,0.0,0.0,1.0
39,0.0,0.0,1.0
